REG_ID,Region,Country,totpop05,totpop20,pop65plus05,pop65plus20,workagepop05,workagepop20,areasqkm,popsqkm05,popsqkm20,pctba20,pm2pt5_05,pm2pt5_19,co2tot08,co2cap08,broadband19,inc05,inc19,unemp05,unemp20,covidvax2021q2
CH02,Espace Mittelland,CH,1690140,1886580,282238,374763,1134530,1231060,9752,173.31,193.46,0.401008,11.99,8.99,11474.5,6.7,0.93,NA,NA,0.04,0.044,0.5881
TR51,Ankara,TR,4206850,5639080,NA,486783,NA,3972800,24797,169.65,227.41,0.324,23.88,22.56,10290.3,2.3,NA,NA,NA,NA,0.149,NA
BR06,Roraima,BR,391317,631181,11579,NA,240085,NA,224118,1.75,2.82,NA,NA,NA,2694.61,6.2,NA,NA,NA,NA,NA,0.1682
BR22,Rio Grande do Sul,BR,10845100,11423000,863892,NA,7272040,NA,281734,38.49,40.55,NA,NA,NA,32585.8,3,NA,NA,NA,NA,NA,0.6841
CO17,Caldas,CO,996434,1018450,73171,132039,667089,688667,7888,126.32,129.11,0.237908,27.04,23.78,NA,NA,NA,NA,NA,0.145,NA,NA
CO73,Tolima,CO,1304220,1340000,103735,162561,823578,883075,23562,55.35,56.87,0.197755,26.88,24.52,NA,NA,NA,NA,NA,0.148,NA,NA
CR02,Chorotega,CR,303730,393893,19194,34237,195219,264358,10140,29.95,38.85,0.177353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE17,Madre de dios,PE,105205,173811,2276,NA,69293,NA,85301,1.23,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE21,Puno,PE,1293840,1238000,77152,NA,756240,NA,71999,17.97,17.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE24,Tumbes,PE,203452,251521,7319,NA,138715,NA,4669,43.58,53.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EL41,North Aegean,EL,199177,229516,45128,47245,123781,143588,3801,52.4,60.38,0.293,10.11,7.73,407.93,2,NA,16327,13363,0.104,0.169,NA
EL61,Thessaly,EL,741599,715115,153179,177901,475753,439478,13938,53.21,51.31,0.303,17.36,12.47,3850.34,5.2,NA,16189,13648,0.097,0.174,NA
NZ18,Manawatu-Wanganui,NZ,228900,254500,31730,46800,147470,158000,22167,10.33,11.48,0.291,5.76,5.58,888.857,3.9,NA,13180,NA,0.042,0.048,NA
IE05,Southern,IE,1417400,1641060,167400,257354,955500,1052830,29389,48.23,55.84,NA,10.53,8.01,NA,NA,0.9,16616,19471,NA,NA,NA
AT11,Burgenland,AT,278032,294436,52575,65485,185182,190282,3780,73.55,77.89,0.331,17.34,12.66,1539.4,5.5,0.87,25955,27189,0.053,0.043,0.6963
AT31,Upper Austria,AT,1394730,1490280,217050,277872,936856,986904,11717,119.03,127.19,0.311,16.14,11.96,17698.5,12.6,0.88,26330,26800,0.043,0.039,0.5764
CA10,Newfoundland and Labrador,CA,514332,521364,67928,116181,366005,335313,370514,1.39,1.41,NA,5.97,4.47,8015.61,15.7,NA,15317,NA,0.152,0.139,0.7948
DE9,Lower Saxony,DE,8000910,7993610,1507480,1769060,5229430,5127340,47363,168.93,168.77,0.27,13.95,11.24,65647.5,8.2,0.95,22058,25216,0.106,0.04,0.6895
PL41,Greater Poland,PL,3365280,3479530,397679,587117,2377340,2315940,29490,114.12,117.99,0.293,25.42,21.69,17852.5,5.3,0.867,11115,17610,0.173,0.019,NA
US11,District of Columbia,US,567136,690093,66511,89833,411114,508913,159,3566.89,4340.21,NA,14,8.33,7382.88,12.7,0.873,54104,67034,0.063,0.081,0.505
US31,Nebraska,US,1761500,1961460,234408,319437,1157800,1222690,199099,8.85,9.85,NA,9,7.21,40117.6,22.3,0.87,37100,46082,0.041,0.042,0.054
US48,Texas,US,22778100,29217700,2256750,3873680,15284900,19311800,678051,33.59,43.09,NA,11.55,8.62,501892,20.6,0.863,35325,44818,0.055,0.076,0.516
US50,Vermont,US,621215,642495,81761,128594,428501,402430,23956,25.93,26.82,NA,6.85,4.87,4416.29,7.1,0.834,37401,46529,0.035,0.057,0.19
ITH1,Province of Bolzano-Bozen,IT,474568,532644,77974,105656,315518,343756,7370,64.39,72.27,0.176,13.05,9.29,1466.47,3,0.85,28800,28631,0.027,0.039,0.6223
ITH4,Friuli-Venezia Giulia,IT,1199220,1206220,265975,319905,790858,743537,7571,158.4,159.32,0.214,20.25,14.62,7900.38,6.5,0.87,25713,23999,0.041,0.058,0.6669
PL61,Kuyavian-Pomerania,PL,2068260,2050980,252394,366367,1456260,1372370,17576,117.68,116.69,0.266,20.83,18.05,12519.4,6.1,0.847,9988,15687,0.2,0.031,NA
PL63,Pomerania,PL,2194040,2316140,257763,394885,1547240,1528840,17692,124.01,130.91,0.349,16.43,14.6,11764.9,5.3,0.857,10274,17099,0.19,0.032,NA
PT11,North (PT),PT,3716870,3575340,553820,748785,2533640,2374930,21115,176.03,169.33,0.249,9.43,6.94,14038.3,3.8,0.74,14053,15851,0.093,0.072,NA
PT17,Metropolitan area of Lisbon,PT,2732440,2863270,447425,632124,1857040,1776430,2810,972.4,1018.96,0.38,12.5,9.7,10810.8,3.9,0.86,21127,20963,0.087,0.08,NA
CZ02,Central Bohemian Region,CZ,1143930,1385140,161528,255825,809999,883188,10719,106.72,129.22,0.242,18.17,14.78,23638,19.4,0.88,14229,18811,0.052,0.02,0.4534
JPC,"Northern-Kanto, Koshin",JP,10097000,9597000,2099640,2904000,6543740,5566000,35355,285.59,271.45,NA,11.59,12.67,99805,10,0.690894,20292,NA,0.038,0.027,NA
KR06,Gangwon Region,KR,1488880,1515110,186101,302453,1028760,1044860,16572,89.84,91.43,0.50139,25.31,29.63,19888.4,13.4,NA,12871,19081,0.02,0.037,0.6727
CH01,Lake Geneva Region,CH,1362750,1654750,206486,284965,924247,1109580,8256,165.06,200.43,0.427443,13.79,10.73,8776.43,6.2,0.96,NA,NA,0.067,0.079,0.591
TR42,Eastern Marmara - North,TR,2878130,3961950,NA,355417,NA,2736600,20104,143.16,197.07,0.207,24.12,24.69,16932.3,5.5,NA,NA,NA,NA,0.125,NA
BR13,Pernambuco,BR,8413590,9616620,568667,NA,5536060,NA,98527,85.39,97.6,NA,NA,NA,15542.6,1.8,NA,NA,NA,NA,NA,0.6177
