ID,GDP96,GDPGrow,popDens96,area96,unemp99,pctCollege,CO2_2005
HU10,17404.18,0.531765059,0.068440989,0.002728441,0.0524,0.236150425,0.063260376
PL21,8414.66,0.526991988,0.035043366,0.005977545,0.0931,0.152756347,0.05735379
KR02,16927.27,0.526087188,0.101494899,0.00485767,0.07152836,0.259525826,0.120230398
ME28,8945.37,0.522337388,0.005513383,0.031158252,0.0193,0.17717842,0.072409083
ME24,6181.09,0.515596231,0.006221491,0.023865701,0.0119,0.154653986,0.043343528
TR32,7244.96,0.512932455,0.012270506,0.012710739,0.072226999,0.075,0.06343882
ME20,3676.26,0.510195437,0.006187783,0.036196123,0.0065,0.088939291,0.05501734
SI02,19713.39,0.50975065,0.018948996,0.003163499,0.0488,0.251113468,0.071170474
ME19,14421.5,0.504906396,0.009502582,0.025036366,0.0153,0.245464922,0.051141192
PL63,9468.29,0.502456141,0.019897061,0.007204219,0.1106,0.138245614,0.043889528
IE01,17147.0626,0.502032305,0.005108524,0.012594817,0.0691,0.162584054,0.061563568
KR05,16605.57,0.497921848,0.045549803,0.006517121,0.044865865,0.166110943,0.217194331
